activity_year,lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open_end_line_of_credit,business_or_commercial_purpose,loan_amount,combined_loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co_applicant_credit_score_type,applicant_ethnicity_1,applicant_ethnicity_2,applicant_ethnicity_3,applicant_ethnicity_4,applicant_ethnicity_5,co_applicant_ethnicity_1,co_applicant_ethnicity_2,co_applicant_ethnicity_3,co_applicant_ethnicity_4,co_applicant_ethnicity_5,applicant_ethnicity_observed,co_applicant_ethnicity_observed,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,applicant_race_observed,co_applicant_race_observed,applicant_sex,co_applicant_sex,applicant_sex_observed,co_applicant_sex_observed,applicant_age,co_applicant_age,applicant_age_above_62,co_applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus_1,aus_2,aus_3,aus_4,aus_5,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,approved
2023,549300FGXN1K3HLB1R50,38900,OR,41051.0,41051003602.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,1,1,2,1,1,1,2,2,2,665000,87,6.125,-0.007,2,14200,,13340,,,360,,,2,2,2,2,765000,1,1,3,5,1,,172.0,37,1,9,1.0,13.0,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,25-34,25-34,No,No,2,1,1,,,,,10,,,,6284,36.66,114400,138.77,2195,2813,78,1
2023,549300FGXN1K3HLB1R50,12060,GA,13117.0,13117130414.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,1,2,1,1,1,2,2,2,685000,85,6.125,-0.238,2,5595.34,,2404.89,1354.89,,360,,,2,2,2,2,805000,1,1,3,5,1,,212.0,39,1,9,2.0,,,,,2.0,,,,,2,2,2.0,21.0,,,,2.0,21.0,,,,2,2,1,2,2,2,35-44,35-44,No,No,2,1,1,,,,,10,,,,4837,30.7,102900,158.2,1343,1452,16,1
2023,549300FGXN1K3HLB1R50,45300,FL,12103.0,12103025207.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,32,2,2,2,2,65000,72,11.375,4.573,2,2999.45,,1695,900,,240,,,2,2,2,2,485000,1,1,3,5,1,,73.0,44,2,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,45-54,9999,No,,1,1,6,,,,,10,,,,6758,36.19,89400,80.83,2093,2966,45,1
2023,549300FGXN1K3HLB1R50,31084,CA,6037.0,6037117301.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,1,2,1,1,1,2,2,2,645000,75,7.5,0.32,3,5521.45,,0,,,360,,,2,2,2,2,865000,1,3,3,5,1,,478.0,20%-<30%,3,9,2.0,,,,,3.0,,,,,2,2,4.0,44.0,,,,6.0,,,,,2,2,1,3,2,2,45-54,35-44,No,No,1,1,1,,,,,10,,,,3917,61.53,98200,154.33,862,1169,62,1
2023,549300FGXN1K3HLB1R50,14540,KY,21227.0,21227011100.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,2,1,32,1,2,2,2,195000,75,5.99,0.013,2,8085.05,,6150,4875,,360,,,2,2,2,2,265000,1,1,3,5,1,,51.0,30%-<36%,1,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,55-64,9999,No,,1,1,1,,,,,10,,,,7759,22.19,78700,131.65,1741,2427,28,1
2023,549300FGXN1K3HLB1R50,14260,ID,16001.0,16001010363.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Joint,Race Not Available,Sex Not Available,1,6,2,1,32,2,2,2,2,45000,77,10.3,5.524,2,2228.95,,795,,,240,,,2,2,2,2,465000,1,1,3,5,1,,128.0,37,2,9,2.0,,,,,1.0,11.0,,,,2,2,6.0,,,,,5.0,,,,,2,2,3,2,2,2,35-44,35-44,No,No,1,1,6,,,,,10,,,,5188,20.45,97500,122.19,1464,1596,13,1
2023,549300FGXN1K3HLB1R50,24660,NC,37151.0,37151030202.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Male,1,2,2,2,1,1,2,2,2,165000,96.5,5.625,0.749,2,10704.08,,5187.55,3547.05,,360,,,2,2,2,2,175000,1,1,3,5,1,,51.0,39,1,10,1.0,13.0,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,3,,,,,10,,,,4962,37.97,81500,75.42,1455,2158,43,1
2023,549300FGXN1K3HLB1R50,37460,FL,12005.0,12005001403.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,2,1,32,1,2,2,2,215000,60,5.99,-0.087,2,8728.7,,6000,4725,,360,,,2,2,2,2,355000,1,1,3,5,1,,49.0,40,3,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,45-54,9999,No,,1,1,1,,,,,10,,,,1739,14.09,78700,87.49,541,919,44,1
2023,549300FGXN1K3HLB1R50,35614,NJ,34003.0,34003015300.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,3,2,1,4,1,2,2,2,75000,19.73,6.99,1.121,3,4864,,3125,1875,,360,,,2,2,2,2,385000,1,3,3,5,1,,98.0,45,1,9,3.0,,,,,3.0,,,,,2,2,6.0,,,,,6.0,,,,,2,2,3,3,2,2,65-74,55-64,Yes,No,1,1,2,,,,,10,,,,6257,96.58,99300,73.74,1144,1806,72,1
2023,549300FGXN1K3HLB1R50,29420,AZ,4015.0,4015952007.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Female,1,9,2,1,31,1,2,2,2,215000,49,2.99,,2,1611.08,,900,,,342,,,2,2,2,2,455000,1,1,3,5,1,,53.0,20%-<30%,3,10,3.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,3970,23.07,65700,153.76,1651,2171,17,1
2023,549300FGXN1K3HLB1R50,24340,MI,26139.0,26139025200.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,1,2,1,32,1,2,2,2,155000,47,6.375,0.498,2,6468.7,,4568.75,3293.75,,360,,,2,2,2,2,335000,1,1,3,5,1,,54.0,40,1,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,55-64,55-64,Yes,Yes,1,1,1,,,,,10,,,,5727,38.01,97500,101.49,1102,1977,43,1
